commiserate,동정하다|위로하다	
crucial,결정적인	
facilitate,용이하게 하다	
strategy,전략	
preside,주재하다|사회하다	
extend,확장하다|연장하다	
quit,그만두다	
torture,고문|고문하다	
duress,강압	
prosaic,산문적인|평범한	
various,다양한	
glaring,눈에 띄는|명백한	
therefore,그러므로	
obsess,사로잡다|집착하다	
naturally,자연적으로|당연히	
prudent,신중한	
defeat,패배시키다|패배	
metaphor,은유	
parsimonious,인색한	
mortal,죽을 운명의|치명적인	
scheme,계획|책략	
refute,반박하다	
scene,장면|현장	
placid,평온한	
innovation,혁신	
shed,흘리다|버리다|헛간	
founder,설립자	
humble,겸손한	
offend,불쾌하게 하다|위반하다	
familiar,친숙한	
deluge,대홍수|범람시키다	
evoke,불러일으키다|환기시키다	
copy,복사하다|사본	
preserve,보존하다	
torrent,급류|격렬함	
diffident,소심한|자신 없는	
placid,평온한|침착한	
enormous,거대한|엄청난	
assimilate,동화시키다|흡수하다
inclement,험악한|춥고 궂은	