condition,상태|조건
erudite,학식 있는|박식한
arduous,힘든|고난의
sector,부문|분야
censure,비난|책망하다
equity,공평|자산
crave,갈망하다
remove,제거하다
predominant,주요한|지배적인
fake,가짜의|위조하다
afford,~할 여유가 있다
acclaim,환호하다|찬사
culture,문화
logistics,물류|실행 계획
inundate,범람시키다|쇄도하다
plethora,과잉|과다
segment,부분|분할하다
compromise,타협하다|타협
puncture,구멍을 내다|펑크
launch,출시하다|발사하다
optimize,최적화하다
divert,방향을 바꾸다|전환시키다
gloom,어둠|우울
inform,알리다
tradition,전통
ideal,이상적인|이상
aim,목표|목표하다
preclude,막다|방해하다
myth,신화|근거 없는 믿음
strategy,전략
turbulence,격동|난류
resort,의존하다|휴양지
candid,솔직한
step,단계|걸음
unilateral,일방적인
chide,꾸짖다|책망하다
repudiate,거부하다|부인하다
style,스타일|방식
implement,실행하다|도구
erudite,박식한|학식 있는
