satisfaction,만족
prosecute,기소하다
figure,수치|인물|생각하다
section,부분|구획
deal,다루다|거래
resilient,회복력 있는|탄력 있는
endemic,고유의|풍토적인
probity,정직|청렴
yard,마당|야드
private,사적인
portable,휴대용의
solid,단단한|확고한
demise,사망|종말
propensity,성향|경향
merge,합병하다|합치다
reduce,줄이다|감소시키다
surface,표면
pervade,만연하다|스며들다
emotion,감정
allude,암시하다|넌지시 말하다
collide,충돌하다
neophyte,초보자
vacillate,흔들리다|망설이다
grind,갈다|빻다
vocation,천직|직업
exaggerate,과장하다
ephemeral,수명이 짧은|덧없는
violate,위반하다
whereas,~인 반면에
store,가게|저장하다
announce,발표하다
inspire,영감을 주다
pristine,원래 그대로의|순수한
vote,투표하다|투표
prejudice,편견
advantage,이점|장점
demand,요구하다|요구
accolade,찬사|영예
install,설치하다
pledge,맹세|맹세하다