value,가치|소중히 여기다
disdain,경멸|경멸하다
elude,피하다|빠져나가다
infinite,무한한
target,목표|겨냥하다
interrupt,방해하다|중단시키다
inchoate,초기의|불완전한
wry,비꼬는|씁쓸한
master,대가|숙달하다
doubt,의심|의심하다
formal,공식적인
achieve,성취하다|달성하다
territory,영토
straightforward,간단한|솔직한
controversial,논란이 많은
caricature,풍자 만화
sufficient,충분한
prohibit,금지하다
relative,상대적인|친척
pristine,원래 그대로의|깨끗한
stage,단계|무대
dispute,논쟁|논쟁하다
fissure,균열|틈
querulous,불평하는
stoic,금욕적인|냉정한 사람
replicate,복제하다
immerse,담그다|몰두시키다
claim,주장하다|요구하다
enterprise,기업|사업
junior,하급의|손아랫사람
physical,신체의|물리적인
sympathy,동정|공감
surreptitious,은밀한
vacillate,흔들리다|망설이다
disaster,재난
flexible,유연한
labor,노동|수고하다
neglect,무시하다|태만
mutual,상호의
adage,격언|속담
