premise,전제|건물
chase,쫓다|추격
impress,깊은 인상을 주다
ridiculous,우스꽝스러운
crucial,결정적인|중요한
caustic,신랄한|부식성의
notorious,~로 악명 높은
expose,노출시키다
ratio,비율
solve,해결하다
trend,경향|추세
quantity,양
compare,비교하다
vindicate,정당성을 입증하다
whisper,속삭이다|속삭임
primary,주요한|초기의
experience,경험|경험하다
produce,생산하다
decorum,예의 바름|단정함
verify,확인하다|입증하다
secure,안전하게 하다|확보하다
nonchalant,태연한|무관심한
invade,침입하다
extra,여분의|추가의
civil,시민의
superb,최고의|훌륭한
cease,멈추다|중단하다
exemplify,예증하다|전형이 되다
exchange,교환하다
perform,실행하다|공연하다
emerge,나타나다|부상하다
immigrate,이민 오다
bohemian,자유분방한 사람
promise,약속하다|약속
seem,~인 것 같다
paradigm,패러다임|모범
manipulate,조종하다|조작하다
sedentary,앉아서 일하는|정착성의
fiasco,대실패
desire,욕망|바라다